type;date;period1;period2;maturity;calendarCountry;businessDayConvention,;terminationDateBusinessDayConvention;dateGeneration;price;currency2
ois;14-08-08;12;12;24;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,00395;-
ois;14-08-08;12;12;72;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,01075;-
ois;14-08-08;12;12;84;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0123;-
ois;14-08-08;12;12;96;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,01365;-
ois;14-08-08;12;12;108;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,01475;-
ois;14-08-08;12;12;120;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0157;-
ois;14-08-08;12;12;144;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,01725;-
ois;14-08-08;12;12;180;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0189;-
ois;14-08-08;12;12;240;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,02045;-
ois;14-08-08;12;12;300;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,021;-
ois;14-08-08;12;12;360;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,02125;-
irs;14-08-08;12;3;12;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00198;-
irs;14-08-08;12;3;15;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00198;-
irs;14-08-08;12;3;18;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00201;-
irs;14-08-08;12;3;21;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00208;-
irs;14-08-08;12;3;24;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0022;-
irs;14-08-08;12;3;36;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,002822;-
irs;14-08-08;12;3;48;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,003822;-
irs;14-08-08;12;3;60;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,005094;-
irs;14-08-08;12;3;72;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,006458;-
irs;14-08-08;12;3;84;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,007883;-
irs;14-08-08;12;3;96;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,009324;-
irs;14-08-08;12;3;108;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,010693;-
irs;14-08-08;12;3;120;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,011925;-
irs;14-08-08;12;3;132;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,013075;-
irs;14-08-08;12;3;144;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,01405;-
irs;14-08-08;12;3;180;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,01625;-
irs;14-08-08;12;3;240;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,018175;-
irs;14-08-08;12;3;300;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,018875;-
irs;14-08-08;12;3;360;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,019075;-
irs;14-08-08;6;3;12;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00313;-
irs;14-08-08;6;3;24;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00661;-
irs;14-08-08;6;3;36;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01114;-
irs;14-08-08;6;3;48;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01488;-
irs;14-08-08;6;3;60;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01785;-
irs;14-08-08;6;3;72;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,019975;-
irs;14-08-08;6;3;84;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,021775;-
irs;14-08-08;6;3;96;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,023275;-
irs;14-08-08;6;3;108;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,02454;-
irs;14-08-08;6;3;120;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,02561;-
irs;14-08-08;6;3;144;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,02737;-
irs;14-08-08;6;3;180;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,02919;-
irs;14-08-08;6;3;240;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,03079;-
irs;14-08-08;6;3;300;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,03151;-
irs;14-08-08;6;3;360;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,03183;-
irs;14-08-08;6;6;18;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,01102;-
irs;14-08-08;6;6;24;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,013032;-
irs;14-08-08;6;6;36;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,016446;-
irs;14-08-08;6;6;48;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,018937;-
irs;14-08-08;6;6;60;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,020727;-
irs;14-08-08;6;6;72;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,022137;-
irs;14-08-08;6;6;84;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,02329;-
irs;14-08-08;6;6;96;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,024273;-
irs;14-08-08;6;6;108;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,025132;-
irs;14-08-08;6;6;120;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,02586;-
irs;14-08-08;6;6;132;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,02651;-
irs;14-08-08;6;6;144;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,02705;-
irs;14-08-08;6;6;180;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,02825;-
irs;14-08-08;6;6;240;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,02921;-
irs;14-08-08;6;6;300;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,02939;-
irs;14-08-08;6;6;360;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,02934;-
irs;14-08-08;12;3;12;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,00504;-
irs;14-08-08;12;3;24;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0062;-
irs;14-08-08;12;3;36;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0079;-
irs;14-08-08;12;3;48;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0096;-
irs;14-08-08;12;3;60;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0114;-
irs;14-08-08;12;3;72;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0131;-
irs;14-08-08;12;3;84;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0147;-
irs;14-08-08;12;3;96;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,016;-
irs;14-08-08;12;3;108;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0172;-
irs;14-08-08;12;3;120;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0182;-
irs;14-08-08;12;3;144;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0198;-
irs;14-08-08;12;3;180;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,02155;-
irs;14-08-08;12;3;240;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0231;-
irs;14-08-08;12;3;300;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0235;-
irs;14-08-08;12;3;360;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0237;-
ccs;14-08-08;3;3;12;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00005;SEK
ccs;14-08-08;3;3;24;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00025;SEK
ccs;14-08-08;3;3;36;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0004;SEK
ccs;14-08-08;3;3;48;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00055;SEK
ccs;14-08-08;3;3;60;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00065;SEK
ccs;14-08-08;3;3;84;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,000725;SEK
ccs;14-08-08;3;3;120;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00085;SEK
ccs;14-08-08;3;3;180;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,001525;SEK
ccs;14-08-08;3;3;240;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0021;SEK
ccs;14-08-08;3;3;12;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,001;SEK
ccs;14-08-08;3;3;24;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,00075;SEK
ccs;14-08-08;3;3;36;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,000575;SEK
ccs;14-08-08;3;3;48;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,00035;SEK
ccs;14-08-08;3;3;60;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,000175;SEK
ccs;14-08-08;3;3;84;USD;ModifiedFollowing;ModifiedFollowing;Forward;0;SEK
ccs;14-08-08;3;3;120;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,000425;SEK
ccs;14-08-08;3;3;180;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,001225;SEK
ccs;14-08-08;3;3;240;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,001875;SEK
ccs;14-08-08;3;3;360;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,002425;SEK
ccs;14-08-08;3;3;3;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,0001;GBP
ccs;14-08-08;3;3;6;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,0001;GBP
ccs;14-08-08;3;3;9;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,000075;GBP
ccs;14-08-08;3;3;12;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,000025;GBP
ccs;14-08-08;3;3;18;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00005;GBP
ccs;14-08-08;3;3;24;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0001;GBP
ccs;14-08-08;3;3;36;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,000025;GBP
ccs;14-08-08;3;3;48;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,0001;GBP
ccs;14-08-08;3;3;60;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,0002;GBP
ccs;14-08-08;3;3;72;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,000275;GBP
ccs;14-08-08;3;3;84;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,00035;GBP
ccs;14-08-08;3;3;96;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,000425;GBP
ccs;14-08-08;3;3;108;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,0005;GBP
ccs;14-08-08;3;3;120;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,00055;GBP
ccs;14-08-08;3;3;144;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,0007;GBP
ccs;14-08-08;3;3;180;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,000875;GBP
ccs;14-08-08;3;3;240;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,0009;GBP
ccs;14-08-08;3;3;300;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,000725;GBP
ccs;14-08-08;3;3;360;USD;ModifiedFollowing;ModifiedFollowing;Forward;-0,0004;GBP
ts;14-08-08;3;6;12;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,0008375;-
ts;14-08-08;3;6;24;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,000865;-
ts;14-08-08;3;6;36;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00093;-
ts;14-08-08;3;6;48;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,001045;-
ts;14-08-08;3;6;60;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00117;-
ts;14-08-08;3;6;72;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,001285;-
ts;14-08-08;3;6;84;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,001385;-
ts;14-08-08;3;6;96;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00147;-
ts;14-08-08;3;6;108;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00153;-
ts;14-08-08;3;6;120;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,001575;-
ts;14-08-08;3;6;144;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,001565;-
ts;14-08-08;3;6;180;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,001455;-
ts;14-08-08;3;6;240;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,0012875;-
ts;14-08-08;3;6;300;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,001175;-
ts;14-08-08;3;6;360;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,001085;-
fra;14-08-08;1;4;3;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,002;-
