type;date;period1;period2;maturity;calendarCountry;businessDayConvention,;terminationDateBusinessDayConvention;dateGeneration;price;currency2
ois;16-04-01;3;3;3;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,0053;-
ois;16-04-01;4;4;4;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,03785;-
ois;16-04-01;5;5;5;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,03775;-
ois;16-04-01;6;6;6;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,00533;-
ois;16-04-01;7;7;7;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,03775;-
ois;16-04-01;8;8;8;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,03775;-
ois;16-04-01;9;9;9;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,00535;-
ois;16-04-01;10;10;10;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,03775;-
ois;16-04-01;11;11;11;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,03775;-
ois;16-04-01;12;12;12;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,00526;-
ois;16-04-01;12;12;15;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,00509;-
ois;16-04-01;12;12;18;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,0048;-
ois;16-04-01;12;12;24;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,00423;-
ois;16-04-01;12;12;36;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,00265;-
ois;16-04-01;12;12;48;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,00084;-
ois;16-04-01;12;12;60;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,00145;-
ois;16-04-01;12;12;72;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,00355;-
ois;16-04-01;12;12;84;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0054;-
ois;16-04-01;12;12;96;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,007;-
ois;16-04-01;12;12;108;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,00823;-
ois;16-04-01;12;12;120;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0096;-
ois;16-04-01;12;12;144;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,01159;-
ois;16-04-01;12;12;180;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,014;-
ois;16-04-01;12;12;240;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0164;-
ois;16-04-01;12;12;300;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,0179;-
ois;16-04-01;12;12;360;SEK;ModifiedFollowing;ModifiedFollowing;Forward;0,01828;-
irs;16-04-01;12;3;12;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00277;-
irs;16-04-01;12;3;15;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00263;-
irs;16-04-01;12;3;18;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00286;-
irs;16-04-01;12;3;21;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,0027;-
irs;16-04-01;12;3;24;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,0029;-
irs;16-04-01;12;3;36;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00269;-
irs;16-04-01;12;3;48;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00222;-
irs;16-04-01;12;3;60;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,00151;-
irs;16-04-01;12;3;72;EUR;ModifiedFollowing;ModifiedFollowing;Forward;-0,000555;-
irs;16-04-01;12;3;84;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,000565;-
irs;16-04-01;12;3;96;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,001745;-
irs;16-04-01;12;3;108;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00291;-
irs;16-04-01;12;3;120;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00399;-
irs;16-04-01;12;3;132;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,00498;-
irs;16-04-01;12;3;144;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,005875;-
irs;16-04-01;12;3;180;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,0079;-
irs;16-04-01;12;3;240;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,009585;-
irs;16-04-01;12;3;300;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,010085;-
irs;16-04-01;12;3;360;EUR;ModifiedFollowing;ModifiedFollowing;Forward;0,010185;-
irs;16-04-01;6;3;12;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,00754;-
irs;16-04-01;6;3;24;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,008609;-
irs;16-04-01;6;3;36;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,009564;-
irs;16-04-01;6;3;48;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,010711;-
irs;16-04-01;6;3;60;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,011654;-
irs;16-04-01;6;3;72;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,012444;-
irs;16-04-01;6;3;84;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,013359;-
irs;16-04-01;6;3;96;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,014171;-
irs;16-04-01;6;3;108;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,014915;-
irs;16-04-01;6;3;120;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,015634;-
irs;16-04-01;6;3;144;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01705;-
irs;16-04-01;6;3;180;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,01841;-
irs;16-04-01;6;3;240;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0198;-
irs;16-04-01;6;3;300;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,02054;-
irs;16-04-01;6;3;360;USD;ModifiedFollowing;ModifiedFollowing;Forward;0,0209;-
irs;16-04-01;6;6;18;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,00759;-
irs;16-04-01;6;6;24;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,007676;-
irs;16-04-01;6;6;36;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,008386;-
irs;16-04-01;6;6;48;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,009162;-
irs;16-04-01;6;6;60;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,010018;-
irs;16-04-01;6;6;72;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,010948;-
irs;16-04-01;6;6;84;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,011914;-
irs;16-04-01;6;6;96;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,012806;-
irs;16-04-01;6;6;108;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,013608;-
irs;16-04-01;6;6;120;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,0143;-
irs;16-04-01;6;6;132;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,01509;-
irs;16-04-01;6;6;144;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,015468;-
irs;16-04-01;6;6;180;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,016518;-
irs;16-04-01;6;6;240;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,017148;-
irs;16-04-01;6;6;300;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,017125;-
irs;16-04-01;6;6;360;GBP;ModifiedFollowing;ModifiedFollowing;Forward;0,016972;-
irs;16-04-01;12;3;12;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,00413;-
irs;16-04-01;12;3;24;SEK;ModifiedFollowing;ModifiedFollowing;Forward;-0,003;-
